"Review_Date","Average_Score","Hotel_Name","Reviewer_Nationality","Negative_Review","Review_Total_Negative_Word_Counts","Total_Number_of_Reviews","Positive_Review","Review_Total_Positive_Word_Counts","Total_Number_of_Reviews_Reviewer_Has_Given","Reviewer_Score"
"5/29/2017",8.9,"K K Hotel Picasso","United States of America","The room was available at 12 but we were asked to pay extra because the checking time is 3pm I must clarify that I thought they say 50 euro extra at first but the next day I overheard the staff said 15 euro to a couple 15 Euro is much more reasonable and doable But if the room is available early they could have let people check in early as a courtesy after a long flight",78,1517,"Very modern and very clean hotel The room was quite spacious per European standard The staff is really friendly It is located in a quiet area but yet close to the city center Right behind the hotel we walked from El Born to Gotic Quarter and that was a great experience",52,2,8.3
"11/1/2016",8.2,"The Queens Gate Hotel","United Kingdom","The lack of drawers in the bedroom and foam pillows",11,2516,"The staff were charming and very helpful in all departments and went the extra mile to ensure my stay was a happy one",25,2,8.8
"4/18/2016",8.5,"IntercityHotel Wien","Austria","No Negative",0,3003,"great location amazing view over the city clean spacious room friendly humorous staff flexibility during check in out tickets for public transport included",24,5,10
"12/22/2016",8.1,"La Villa Royale","United Kingdom","When we arrived the room carpet was wet so the room smelt musty through our entire stay",18,404,"Very close to Metro",5,5,6.7
"3/2/2017",8.6,"Hotel Am Konzerthaus Vienna MGallery by Sofitel","Italy","No Negative",0,1307,"The lady at the reception was extremely kind and helpful Pefect location very close to Stadpark Metro station",20,19,9.2
"8/10/2016",7.3,"Shaftesbury Premier London Paddington","Oman","Very small size the double room and had have hard time to stay 3 night in three bedrooms room sizes are small not good for two people stay in these rooms Me and my family was not happy about everything in this hotel",45,3609,"Its my second and last time to go this hotel I did not like this hotel at all bcoz of room given to us was very small size double room and it heard to stay two people in these size of room",44,1,4.6
"9/24/2015",9.5,"Taj 51 Buckingham Gate Suites and Residences","Saudi Arabia","Nothing",2,310,"Everything is perfect",5,3,10
"9/9/2015",8.2,"Hilton London Paddington","United Kingdom","No Negative",0,2898,"Good for money and location",7,1,9.2
"4/2/2016",8.7,"H tel Champs lys es Plaza","Russia","No Negative",0,343,"Great location Very helpful staff Superb concierge The most comfortable bed we ve ever slept in Phenomenal bath Little treats every day Lovely breakfast Beautiful interior",28,1,9.6
"5/15/2016",7.4,"Best Western Blue Tower Hotel","United Kingdom","The only bad point was it didn t have a drinks licence",14,3869,"The staff were helpful with any questions we had",11,1,7.5
"3/13/2017",7.8,"Mercure Hotel Amsterdam West","France","Location was so far from city center",8,1945,"Comfortable cozy staff",4,5,5.8
"10/27/2015",8,"Hotel Mozart","Switzerland","no reserved place to unload the car",8,4015,"Structure of the room",5,4,8.8
"8/23/2016",8.7,"DoubleTree by Hilton Hotel London Tower of London","United Kingdom","The carpet in the room could of done with a clean and there was a burn mark on the desk",22,7491,"The rooftop bar was amazing little overpriced but views are fantastic very close to tube station",17,1,7.9
"7/13/2016",9.3,"Amba Hotel Charing Cross","United States of America","No Negative",0,1694,"We liked the size of the room the amenities free mini bar service and the complimentary champagne We loved all the staff and the location We will definitely stay here again and highly recommend it to friends",39,2,10
"1/6/2017",8.3,"Hampshire Hotel The Manor Amsterdam","Netherlands","The pressure of the water was poor for bath",11,1939,"No Positive",0,1,7.1
"8/20/2015",9.3,"Claridge s","United Arab Emirates","Nothing",2,293,"Excellent Hotel",3,6,10
"3/8/2016",9.4,"The Toren","United Kingdom","Nothing at all",4,948,"The staff were amazing I wasn t well when I checked in and they made everything easier and room service and housekeeping were also great",27,1,10
"2/2/2016",9.1,"Hotel Esther a","United Kingdom","No Negative",0,4687,"The staff were excellent all very helpful The hotel was spotless Couldn t of asked for a better location I would stay here again",26,2,10
"5/1/2016",9,"The Square Milano Duomo","Turkey","No Negative",0,4192,"Great location huge room comfortable bed Breakfast was great a lot of cheese choices You can also have oatmeal or cereal and fresh juices The hotel is only 5 minutes to Duomo Cathedral which was very efficient Would definitely stay here when I come back to Milan",49,21,10
"6/1/2016",8.8,"25hours Hotel beim MuseumsQuartier","Russia","Sorry nothing to say here even for the sake of improvement and definitely not anything for sake of complaint",20,4324,"This is the second time we stay here and will want to stay here every time we are in Vienna The hotel simply goes well with us like coming home I want to thank staff once again for making this stay perfect and my birthday memorable",47,17,10
"2/24/2017",8.3,"Staunton Hotel B B","United Kingdom","Room was too warm but we cooled it easily",11,615,"Nice clean beds fantastic full English breakfast juice and cereals",12,4,9.6
"8/30/2016",8.8,"The Montcalm At Brewery London City","United Kingdom","No Negative",0,2617,"great staff very friendly comfy bed looked after very well",12,20,8.3
"9/7/2016",8.6,"Hotel Am Konzerthaus Vienna MGallery by Sofitel","United Kingdom","The food in the restaurant attached to the hotel was very poor in the evening",17,1307,"Everything fantastic and the breakfast was fab I can t see why anyone would have anything bad to say",21,1,10
"12/8/2015",8.8,"Catalonia Born","Russia","No Negative",0,2094,"One of my favourite hotels in bcn It was our 4th stay here Good location friendly staff nice clean room with comfortable bed and kettle good wifi excellent value for money in December excellent restaurant Elsa and Fred is across the street",43,44,10
"11/1/2015",8.3,"Le Metropolitan a Tribute Portfolio Hotel","United Kingdom","Wifi difficult to connect",5,286,"Location and pool",4,5,9.6
"4/5/2016",8.7,"Aloft London Excel","United Kingdom","No Negative",0,2332,"King size bed was perfect great shower room loved the view of the docks Staff were very friendly and helpful Loved the pool sauna and steam room used them both days we stayed Room was cleaned whilst we were out in the day to a very high standard Hotel was very easy to access on the DLR and we enjoyed exploring the area",65,1,9.6
"5/10/2016",8.9,"Arbor City","United Kingdom","No Negative",0,2197,"the staff were very helpful and delivered 2 glasses of champagne to our room for our 25th wedding anniversery",20,2,9.2
"3/22/2016",8.5,"DoubleTree by Hilton London Westminster","United Kingdom","Tv stations on the Apple mac often froze or turned themselves off",13,3269,"Comfy bed Great quiet Location hot cookie at check in",11,1,8.3
"6/10/2016",7.9,"Exe Laietana Palace","United States of America","I was very happy with our trip and our hotel",12,2045,"The location was great close to the beach great restaurants and history literally outside of your window",19,2,9.2
"7/24/2016",8.6,"Radisson Blu Edwardian Bloomsbury Street","United Kingdom","No Negative",0,1641,"It was all just perfect",7,6,10
"2/10/2016",7.7,"Grand Royale London Hyde Park","Switzerland","The room is very small",7,6539,"The location closed to underground station and a lots of restaurant and shops nearby The staffs are very friendly and helpfull",23,2,7.1
"4/30/2016",8.7,"Aloft London Excel","United Kingdom","Staff got slightly stressed and we re a bit grumpy on occasions",13,2332,"Fantastic location if going to the excel Hotel rooms amazing Extremely comfy beds Breakfast great",17,2,9.6
"11/1/2015",8.4,"Timhotel Op ra Blanche Fontaine","United Arab Emirates","Everthing in this hotel was nice but I can recommend that It would be great if a staff could be sent to the gate to assist the passengers with their luggage as there are several stairs and a long distance from the gate entrance in the yard to the reception building",53,466,"The location is amazing it is just 2 minutes walk from Moulin Rouge Also it is close to numerous restaurants and cafes The personnel are really helpful and friendly specially the lady chef at front desk The room was big and very comfortable The breakfast was ok buy it could improve by adding more veriety of food and beverages But I really enjoyed my stay over there",69,4,8.8
"8/29/2016",9.3,"Olivia Balmes Hotel","United Kingdom","No Negative",0,1835,"Excellent staff Great location Rooftop pool and sun terrace a delight",13,4,9.2
"12/26/2015",8,"Hotel Mozart","Italy","No Negative",0,4015,"very friendly available for very late check in",9,1,10
"5/11/2017",8.6,"The Tower A Guoman Hotel","United States of America","They did not have or could not find my booking information I had to sign onto Booking com to find it and a confirmation number in order to get a room Total check in time took 45 minutes",39,3486,"Beds nice room room upgrade to a view of the marina",12,1,7.9
"10/15/2015",8.1,"Novotel Paris Centre Gare Montparnasse","United Arab Emirates","The price",3,1363,"The location staff and the cleanliness",7,13,7.1
"4/24/2016",8,"Park Plaza Victoria Amsterdam","Switzerland","We booked an average room which in general was ok however compared to the photos we looked at when booking it was tired and a little dismal",29,4820,"All the staff were exceptionally friendly and helpful from arrival to departure Good location I would definitely stay here again",21,3,8.3
"7/6/2016",7.5,"Hilton London Metropole","Jersey","Free wifi in room",6,6977,"Beautiful foyer lovely room comfortable bed extremely clean handy location only 4 stops on underground to Oxford Circus",20,6,10
"2/9/2016",8.9,"London Marriott Hotel West India Quay","Malta","The room we had 214 was directly next to the railway with the train headlights lighting up the room and noises going on until early morning With passengers at eye level viewing directly into the toom when in the station from 10 metres away It made for a dark and morbid hotel room Sadly we were given this room even though the hitel was not at full capasity",70,2836,"The location is great",5,4,7.1
"8/25/2016",8.8,"Hotel Vignon","Australia","Would have liked decafe in room and perhaps additional milk and sugar",14,617,"Lovely staff very helpful Room clean and comfortable",10,1,10
"4/5/2017",9.1,"The Dylan Amsterdam","United Kingdom","Lighting in the room could have been a littlle better",12,314,"Bed was massive and warm room facilties were excellent and quality of breakfast and drinks perfect Staff very friendly",21,1,10
"4/18/2016",8.1,"Rydges Kensington Hotel","Greece","i would have expected for the price that there would at least be a cover on the comforter Also would have expected some eggs for breakfast at at least a reasonable price Definitely not value for money You are simply paying for the location",46,1057,"we really enjoyed the breakfast easy location nice area in London quiet RIGHT next to Gloucester Road Tube Station which was great supermarket close great cafes restaurants also close",30,2,7.9
"4/15/2017",8.7,"WestCord Fashion Hotel Amsterdam","Ireland","Room was really nice staff very friendly",8,5236,"Lovely hotel close to Vondelpark",7,4,10
"9/10/2015",8.4,"Radisson Blu Style Hotel Vienna","United Arab Emirates","Poor WiFi",3,1189,"No Positive",0,20,9.6
"10/20/2016",8.7,"Hotel Casa Bonay","United Kingdom","Nothing really If you are looking for a boutique hotel in Barcelona with a good atmosphere I d recommend it",22,1416,"Modern hotel with cool vibe Nice room overlooking the street Friendly helpful staff We were there one night before a cruise 20 to cruise terminal",27,4,8.8
"11/6/2016",8.7,"Park Plaza Westminster Bridge London","United Kingdom","The staff does not help to sort out my matter",12,12158,"No Positive",0,1,2.5
"11/2/2016",8.5,"Eccleston Square Hotel","Portugal","The Lack of Transparancy about the Description of each Type of Room The description of the room King Superior should be oriented to the front with or without a balcony and should have a desk to work did t correspond to the room I got 307 My suspiscious is that the room I got 307 is not a King Superior but just a King Standard and the Prices",69,369,"The personnel mainly Lisa and Ol via The technology and the fact that is anti allergic",17,7,7.9
"10/15/2015",8.7,"Starhotels Anderson","United States of America","Bit pricey",3,2698,"Close to the central station room was nice good breakfast",11,1,8.8
"8/22/2015",8,"Doubletree by Hilton London Kensington","United Kingdom","noise from the machinery outside our window compressors also staff were borderline friendly",15,2367,"location",2,6,7.1
"5/1/2016",8.2,"The Queens Gate Hotel","United Kingdom","Room was very dirty the bed in the room above us squeaked all night",16,2516,"Room was spacious shower was fab",7,2,4.6
"5/19/2017",8.3,"Barcelona Princess","Turkey","Receptionists were rude",5,4293,"Breakfast ok",3,7,3.3
"11/15/2015",8.6,"Barcel Sants","China","Hotel staff are not very much customer oriented They operate behind the counter more or less like an office clerk over his paperwork",25,4379,"Good location and easy connection to almost anywhere you want to go Very clean Reasonable room rates",19,14,7.1
"11/14/2016",8.5,"Vincci Bit","United Kingdom","There was no air conditioning the fans were blowing out hot air as it was considered winter Our room was extremely hot and we were unable to sleep on one night",33,2848,"Staff were excellent and very helpful",8,1,8.8
"7/23/2017",8.9,"Austria Trend Hotel Savoyen Vienna","United States of America","Internet was a little spotty good for most people but not for those looking to do work on a laptop",22,4016,"Very comfortable room with all of the amenities Great facilities in the hotel Good location not right in the historic area but a short walk to it and a quiet location",33,14,9.6
"7/13/2017",8.4,"Hotel Dei Cavalieri","Canada","The shops are too expensive",6,3445,"The Duomo Cathedral is the most wonderful and Amazing Cathedral I have ever seen and it s just a minute walk from the hotel",26,2,10
"9/15/2016",8.6,"The Gore Hotel Starhotels Collezione","United Kingdom","Nothing",2,968,"The original period paintings on the room wall",9,10,9.6
"4/16/2017",8.7,"WestCord Fashion Hotel Amsterdam","Ireland","No Negative",0,5236,"Best breakfast I have ever had",8,1,9.6
"2/27/2016",8.7,"Park Plaza Westminster Bridge London","United Kingdom","No Negative",0,12158,"Location was brilliant Bed was so comfortable",8,1,9.6
"11/5/2016",8.6,"Worldhotel Cristoforo Colombo","United Kingdom","Breakfast didn t have much choice",7,2875,"Staff were extremely friendly and helpful",7,16,10
"10/11/2015",8.1,"Strand Palace Hotel","United Kingdom","Nothing not to like",5,9568,"Comfy quite firm bed nice size executive room clean tidy kettle and coffee machine shutters of the windows to keep the light out proper hair dryer lovely served breakfast polite staff walking distance to everywhere and a complementary bottle of Procecco for us as it was my partners birthday what more could you want A lovely touch thank you A large group were actually checking in when I was hoping to I was running a little against time and so their handy drop off point for bags was very useful It allowed me to leave our bag and nip straight out and check in later",107,1,10
"5/17/2016",8.8,"9Hotel Republique","United Kingdom","No Negative",0,857,"Friendly and helpful staff great breakfast",8,5,9.2
"9/15/2015",8.6,"Dorsett Shepherds Bush","United Kingdom","Not keen on the glass wall in the bathroom Hotel bar closes even for residents",16,2890,"Beautiful decor",4,16,9.6
"2/9/2016",9.4,"Shangri La Hotel at The Shard London","United Kingdom","Nothing the shangri la hotel is flawless",8,2200,"The whole experience was incredible The staff the hotel the room all perfect",15,2,10
"5/3/2016",8.1,"HCC Regente","Switzerland","The room was a bit noisy It did not have a noise proof and at 2 00 AM i suddenly woke up to the noise of people entering their rooms",32,354,"Entering the room my wife s first impression was The room is perfect The breakfast was amazing and there was a wide variety The Staffs were friendly to help and provide details The 24hrs checkout really helped me and the cab was available at the entrance at 5 15 The location was perfect to walk to any of the Gaudi s Casa buildings I walked from La Rambala almost everyday during my stay Well connected to the shopping area The room was looking the streets and I was looking at the streets But quite honestly why do you need a view and what are you doing inside the hotel instead of being out there enjoying your Tapas and Sangria I will definitely recommend for anyone looking for a nice safe stay The pricing was a bit high but my over all impression would be to return here if I am visiting Barcelona again",155,12,9.2
"8/23/2015",8.2,"NH London Kensington","Australia","No Negative",0,879,"Location was great close to transport shops and amenities Garden area out back was just delightful as well",20,9,10
"5/26/2016",8.2,"Sloane Square Hotel","United Kingdom","We were very satisfied",5,1140,"Very comfortable beds and we were given everything we asked for such as quiet room with bath",18,2,10
"9/28/2016",8.4,"NH Milano Machiavelli","Australia","The Free WiFi was terribly slow to the point that we had to use our own hotspot to access the internet even just to check emails The huge corner bath was nice but with no shower curtain the water went everywhere in the bathroom Other than these couple of things the hotel was a great place to stay",60,1119,"Our room was really spacious clean and comfy It was a great place to stay at the end our 4 week trip around Italy Staff were friendly and helpful Breakfast was excellent with a great selection of fresh food The hotel is close to Stazione Central Shopping and walking distance to the hop on off bus stop on Corso Buenos Aires We would recommend dinner at Mamma Rosa s just a couple of blocks from the hotel fabulous dining experience and food",84,2,8.8
"10/26/2015",8.8,"every hotel Piccadilly","United Kingdom","No Negative",0,1685,"People location sleep quality",6,18,10
"6/4/2016",7.9,"Best Western Palm Hotel","United Kingdom","Some staff have very poor knowledge of London Use of public transport is difficult hotel located on a dual carriageway",21,2037,"Comfortable bed Very good sound proofing",7,58,6.7
"4/22/2016",8.8,"Crowne Plaza London Docklands","United Kingdom","N a",3,2768,"Hotel staff well presented friendly helpful outstanding service from front desk bar staff breakfast staff and housekeeping The room was very nice very close to tube and the 02 Breakfast was well prepared loads of choice Everything was very clean and tidy I couldn t fault on anything Very happy to come back again and let others know",59,2,10
"5/20/2017",9,"Terrass H tel Montmartre by MH","United States of America","The 95 bus across the street is no longer That was my way to go down to the Opera and to the museums Sure I can use the Metro but the views from the bus are fun",39,707,"I ve been staying at this hotel since 1986 After the renovation it has been a pleasurable stay every time The staff is bi lingual and very helpful The restaurant and terrace is great with a beautiful of the Eiffel Tower It s in Montmartre which for me is the best part of Paris A little more funky with a great vibe",64,1,10
"7/4/2016",8.7,"Aloft London Excel","France","No Negative",0,2332,"Everything Friendly and helpful personel the swimming pool and sauna the most comfortable bed ever the decor I ll be back",23,1,9.6
"7/28/2017",8.1,"H tel Jos phine by Happyculture","United States of America","No Negative",0,395,"Staff was super friendly and helpful Also free wine tasting at their partner hotel across the street and free absinthe every night from 6 8 pm The hotel was so comfortable and chic with great restaurants within walking distance About 1 2 miles from tourist destinations but the walk is very easy and enjoyable",56,1,10
"11/13/2016",8.4,"Holiday Inn Amsterdam Arena Towers","United Kingdom","Food was expensive and average",7,1992,"No Positive",0,11,7.5
"5/31/2017",9,"The Square Milano Duomo","Australia","We had prepaid we believed fully through Booking com and were presented with a bill for 168 69 euros on check out The city tax accounted for 30 euros of that The staff were unable to explain the balance We paid because we were in a hurry to catch a train but it left a sour taste",59,4192,"The location five minutes from the duomo suited us We were given an upgrade and the room was comfortable Breakfast was good",24,14,6.3
"9/20/2015",9,"Hotel Magna Pars Small Luxury Hotels of the World","Guernsey","No Negative",0,454,"The staff were excellent Our suite was really good Located in the design business area so quiet at night but a 5 minute walk from the buzz of the canals in Navigli Close to the metro and trams that take you to central Milan",46,16,9.6
"4/25/2017",8.4,"NH Collection Amsterdam Grand Hotel Krasnapolsky","Qatar","No Negative",0,4686,"Amazing location",3,4,7.9
"9/19/2016",6.4,"Hotel Cavendish","United Kingdom","No lift asked for 3 singles got a double and pull out No air conditioning far too hot On top floor and had difficulties getting up all the stairs too many flights And breakfast was in basement 5 flights of stairsback to room Breakfast small but ok",48,2275,"No Positive",0,4,6.7
"7/6/2017",8.8,"Hotel Schani Wien","United States of America","Room was a little hot A C doesn t adequately cool the room",15,2464,"Cool Design Nice staff Train to old Town area is right outside the hotel Also close to main train station",22,9,10
"7/10/2017",8.1,"DoubleTree by Hilton London Docklands Riverside","United Kingdom","Room size and restraunt",5,3826,"Rooms very small Restraunt food not very good Waiting staff very poor",14,14,5.8
"2/9/2016",8.7,"Best Western Premier Op ra Li ge","United Kingdom","the house clean is not very satisfied",8,641,"the stuff is reaaaaaaaaaaly nice the location is good",10,11,8.8
"9/1/2016",8.9,"The Chamberlain","United Kingdom","The room would get hot at times which made it uncomfortable even with the AC on which didn t really cool the room that well",27,2543,"Excellent location only 5 minutes walk to tower bridge Underground only a 2 minute walk The adjoining pub is good and food was very good Sunday roast Rooms had good tea and coffee facilities as well as water and a beer all complimentary Would definitely return Even got a free upgrade on my room which was good",59,4,9.2
"3/16/2017",8.5,"Best Western Atlantic Hotel","United Kingdom","The air con didn t seem to work properly and our room was very stuffy We had to sleep with the window open which meant it was very noisy",31,1738,"Close to central train station and metro Plenty of great restaurants nearby The shower in the room",18,6,7.9
"7/5/2017",8.8,"Doubletree By Hilton London Greenwich","United Kingdom","No Negative",0,1805,"The staff were very friendly and professional The hotel s standard is also very good",17,3,9.6
"1/23/2016",8.1,"DoubleTree by Hilton London Docklands Riverside","United Kingdom","that you only get 60 mins free wifi in certain areas The rooms can be expensive and having wifi avaliable all round would make this hotel even better for people",31,3826,"Loved the warm cookies Although we didn t get them on arrival but as soon as we made staff aware they apologised and handed them to us The organisation of both the hotel boat and the clipper from Canary Wharf was excellent",43,1,10
"4/1/2017",8.5,"Amba Hotel Marble Arch","Oman","Only 2 or 3 out of 4 elevators worked during my 9 day stay in morning rush hours it may take you 20 min to get a lift Hotel restaurant is in reception area so it smells fried eggs during breakfast time and sometimes for lunch they have seafood that really smells bad all around the lobby and in lifts as well up to a degree u smell urself Standard rooms are really tiny and can t fit 2 ppl with 2 luggage Some reception staff are new and untrained that takes them ages to check you in and some are misbehaved I found a little cockroach in the bathroom was good that my wife didn t c it",121,3980,"Hotel arranged early morning checkin thanks Deluxe room size is good for London hotels Hotel is fully refurbished almost brand new modern furniture and bathroom Free minibar is a bonus Best location in London for shopping and food",40,14,7.1
"7/15/2016",9.2,"Catalonia Passeig de Gr cia 4 Sup","Australia","The room was very small",7,2116,"Lovely room and staff very helpful on arrival and also through our stay The location was central and walking distance to all main attractions and shopping The breakfast area is lovely and the food excellent",37,10,10
"4/12/2017",8.5,"Best Western Atlantic Hotel","Sri Lanka","The room and the breakfast",6,1738,"Breakfast was really bad nothing as promised",8,2,3.3
"8/2/2016",7.8,"Holiday Inn London Kensington","United Kingdom","room very small and extractor fan in bathroom did not work and despite requesting to be mended nothing was done Poor respose to customer request",26,5945,"Breakfast was great",4,1,7.1
"2/27/2016",8.5,"Club Quarters Hotel Trafalgar Square","United Kingdom","No Negative",0,2494,"Amazing location staff couldn t do enough for you Upgraded to a suite and it didn t disappoint one bit",22,2,10
"5/10/2016",8.7,"NH Collection Barcelona Constanza","Italy","The hotel is rather far from the center area Although there is a metro station nearby Maria Cristina there are still 10 min on foot to reach it The same applies for Sants railway station",37,1542,"The room was very spacious with a well served minibar very clean Also used the gym which is well equipped The personnel is very friendly welcoming and helpful",30,30,9.2
"4/18/2017",7.5,"Hotel Lloyd","Brazil","No Negative",0,1774,"Good location",3,2,7.1
"11/7/2016",8.1,"Zenit Barcelona","United States of America","dark small bathroom defects uninterested staff",7,645,"excellent location cheap",4,12,7.1
"6/2/2016",9,"Hotel Xenia Autograph Collection","Canada","Nothing",2,682,"Bed extra comfy Beautiful comfort or and pillow Nice bathroom and linens Tablet in room was a added value",21,6,10
"2/3/2017",8.7,"Park Plaza Westminster Bridge London","United Kingdom","No Negative",0,12158,"Great location comfortable room excellent facilities",8,9,9.6
"1/26/2016",8.3,"Novotel London West","United Kingdom","The breakfast was OK but food had been out a while needed refreshed etc",15,2443,"The bathroom and the nespresso machine",7,11,8.8
"10/13/2015",8.6,"The Gore Hotel Starhotels Collezione","United Kingdom","No tea or coffee making facility in room",9,968,"Loved room staff excellent",5,4,8.8
"11/3/2015",8.1,"Bilderberg Garden Hotel","Belgium","No Negative",0,2270,"Friendly staff clean room easy access to the city center by Tram",13,6,8.8
"6/26/2017",8.6,"NH Collection Amsterdam Barbizon Palace","Sweden","Overall a good hotel BUT 5 star hotel but unfortunately 3 star staff Not too helpful reception Was not that little extra enthusiasm that makes 5 star hotels special Found out in hotel that on Sunday check out is at 3pm When we requested late check through email before trip the additional 60 EUR charge came up When we asked the same question in hotel if could get extra hour the charge was 30 EUR Expensive breakfast Decided to eat out lots of different places nearby Really bad air in the gym not always water available as stated Had to go back to room to get the water Lived on second floor towards main street gets noisy",118,2865,"Clean Good location",4,9,7.9
"6/28/2016",9.1,"H tel Da Vinci Spa","United Kingdom","Nothing",2,352,"Very romantic with extremely pleasant staff",7,1,10
"3/27/2017",7.5,"Hotel 82 London","United Kingdom","The panel shower was weak Some maintenance needed to tiles in shower",13,1733,"Variety at breakfast Water in room Ensuite bathroom",9,1,8.3
